jugador,equipo,Competición,goles,asistencias,partidos
Mbappé K.,Real Madrid,LaLiga,31,3,34
Lewandowski R.,Barcelona,LaLiga,27,2,34
Budimir A.,Osasuna,LaLiga,21,4,38
Sorloth A.,Atlético de Madrid,LaLiga,20,2,35
Pérez A.,Villarreal,LaLiga,19,2,38
Raphinha,Barcelona,LaLiga,18,9,36
Álvarez J.,Atlético de Madrid,LaLiga,17,4,37
Sancet O.,Athletic Club,LaLiga,15,1,29
Kike G.,Alavés,LaLiga,13,0,30
Puado J.,Espanyol,LaLiga,12,4,33
Vinicius Junior,Real Madrid,LaLiga,11,8,34
Barry T.,Villarreal,LaLiga,11,4,35
Iglesias B.,Celta de Vigo,LaLiga,11,3,37
Duro H.,Valencia,LaLiga,11,2,38
Lukebakio D.,Sevilla,LaLiga,11,2,38
Stuani C.,Girona,LaLiga,11,2,33
Torres F.,Barcelona,LaLiga,10,6,37
Aspas I.,Celta de Vigo,LaLiga,10,5,36
Olmo D.,Barcelona,LaLiga,10,3,35
Silva F.,Las Palmas,LaLiga,10,3,34
Arambarri M.,Getafe,LaLiga,10,0,35
Yamal L.,Barcelona,LaLiga,9,13,31
Bellingham J.,Real Madrid,LaLiga,9,8,33
Isco,Real Betis,LaLiga,9,8,32
Oyarzabal M.,Real Sociedad,LaLiga,9,3,34
Ramírez S.,Las Palmas,LaLiga,9,3,30
Griezmann A.,Atlético de Madrid,LaLiga,8,7,36
Raba D.,Leganés,LaLiga,8,6,33
López D.,Valencia,LaLiga,8,5,37
Lo Celso G.,Real Betis,LaLiga,8,3,33
Baena A.,Villarreal,LaLiga,7,9,32
Guruzeta G.,Athletic Club,LaLiga,7,2,30
Larin C.,Mallorca,LaLiga,7,2,31
Muriqi V.,Mallorca,LaLiga,7,2,30
Williams I.,Athletic Club,LaLiga,6,8,35
Berenguer A.,Athletic Club,LaLiga,6,7,34
López F.,Barcelona,LaLiga,6,5,36
Rodrygo,Real Madrid,LaLiga,6,5,36
Valverde F.,Real Madrid,LaLiga,6,4,35
de Frutos J.,Rayo Vallecano,LaLiga,6,3,31
Moleiro A.,Las Palmas,LaLiga,6,1,30
Fernández Jaén R.,Espanyol,LaLiga,6,0,32
García R.,Osasuna,LaLiga,5,5,34
Vicente C.,Alavés,LaLiga,5,5,33
Williams N.,Athletic Club,LaLiga,5,5,31
Cruz J.,Leganés,LaLiga,5,4,31
Oroz A.,Osasuna,LaLiga,5,4,30
Rioja L.,Valencia,LaLiga,5,3,35
Antony,Real Betis,LaLiga,5,2,33
González A.,Celta de Vigo,LaLiga,5,2,31
Jordán J.,Alavés,LaLiga,5,2,30
Cucho Hernández,Real Betis,LaLiga,5,1,29
Mayoral B.,Getafe,LaLiga,5,1,27
Sylla M.,Real Valladolid,LaLiga,5,1,28
Kubo T.,Real Sociedad,LaLiga,5,0,33
Sadiq U.,Valencia,LaLiga,5,0,31
Pino Y.,Villarreal,LaLiga,4,7,30
Rodríguez D.,Mallorca,LaLiga,4,7,31
Mingueza O.,Celta de Vigo,LaLiga,4,6,29
Uche C.,Getafe,LaLiga,4,6,27
García A.,Rayo Vallecano,LaLiga,4,5,28
Moro R.,Real Valladolid,LaLiga,4,5,26
Pedri,Barcelona,LaLiga,4,5,36
Swedberg W.,Celta de Vigo,LaLiga,4,5,30
Durán P.,Celta de Vigo,LaLiga,4,4,28
Palazón I.,Rayo Vallecano,LaLiga,4,4,29
Sánchez J.,Sevilla,LaLiga,4,4,33
Herrera Y.,Girona,LaLiga,4,3,27
Álvarez H.,Celta de Vigo,LaLiga,4,3,26
Cabrera L.,Espanyol,LaLiga,4,2,25
Comesaña S.,Villarreal,LaLiga,4,2,27
Díaz B.,Real Madrid,LaLiga,4,2,29
Romero I.,Sevilla,LaLiga,4,2,28
Ciss P.,Rayo Vallecano,LaLiga,4,1,25
Correa A.,Atlético de Madrid,LaLiga,4,1,26
Terrats R.,Getafe,LaLiga,4,1,23
Danjuma A.,Girona,LaLiga,4,0,21
García R.,Osasuna,LaLiga,4,0,22
Gueye P.,Villarreal,LaLiga,4,0,23
Martínez T.,Alavés,LaLiga,4,0,23
Munir El Haddadi,Leganés,LaLiga,4,0,20
Ruiz A.,Girona,LaLiga,4,0,19
Vitor Roque,Real Betis,LaLiga,4,0,18
Vivian D.,Athletic Club,LaLiga,4,0,22
McBurnie O.,Las Palmas,LaLiga,3,6,25
Pépé N.,Villarreal,LaLiga,3,6,29
de Paul R.,Atlético de Madrid,LaLiga,3,5,27
Güler A.,Real Madrid,LaLiga,3,4,26
Lino S.,Atlético de Madrid,LaLiga,3,4,24
Carreras J.,Espanyol,LaLiga,3,3,23
Gallagher C.,Atlético de Madrid,LaLiga,3,3,23
Gil B.,Girona,LaLiga,3,3,23
Guerra J.,Valencia,LaLiga,3,3,22
Parejo D.,Villarreal,LaLiga,3,3,22
Camello S.,Rayo Vallecano,LaLiga,3,2,21
Moreno G.,Villarreal,LaLiga,3,2,20
Méndez B.,Real Sociedad,LaLiga,3,2,19
Rodríguez J.,Celta de Vigo,LaLiga,3,2,20
Salas K.,Sevilla,LaLiga,3,2,19
Amallah S.,Real Valladolid,LaLiga,3,1,18
Asprilla Y.,Girona,LaLiga,3,1,18
Cardoso J.,Real Betis,LaLiga,3,1,17
Cissé S.,Leganés,LaLiga,3,1,16
Douvikas A.,Celta de Vigo,LaLiga,3,1,16
Guridi J.,Alavés,LaLiga,3,1,15
López U.,Rayo Vallecano,LaLiga,3,1,15
Torre P.,Barcelona,LaLiga,3,1,15
Alonso M.,Celta de Vigo,LaLiga,3,0,14
Díaz P.,Rayo Vallecano,LaLiga,3,0,14
García D.,Leganés,LaLiga,3,0,14
Kumbulla M.,Espanyol,LaLiga,3,0,13
Latasa J.,Real Valladolid,LaLiga,3,0,13
Milla P.,Espanyol,LaLiga,3,0,13
Muñoz A.,Las Palmas,LaLiga,3,0,13
Nteka R.,Rayo Vallecano,LaLiga,3,0,12
Oskarsson O.,Real Sociedad,LaLiga,3,0,12
Paredes A.,Athletic Club,LaLiga,3,0,11
Pérez C.,Getafe,LaLiga,3,0,11
Torró L.,Osasuna,LaLiga,3,0,11
Valjent M.,Mallorca,LaLiga,3,0,11




Salah M.,Liverpool,Premier League,29,18,38
Isak A.,Newcastle,Premier League,23,6,34
Haaland E.,Manchester City,Premier League,22,3,31
Mbeumo B.,Brentford,Premier League,20,7,38
Wood Ch.,Nottingham Forest,Premier League,20,3,36
Wissa Y.,Brentford,Premier League,19,4,34
Watkins O.,Aston Villa,Premier League,16,8,31
Palmer C.,Chelsea,Premier League,15,8,32
Cunha M.,Wolves,Premier League,15,6,33
Larsen J. S.,Wolves,Premier League,14,4,30
Mateta J.,Crystal Palace,Premier League,14,2,31
Bowen J.,West Ham,Premier League,13,8,32
Diaz L.,Liverpool,Premier League,13,5,31
Kluivert J.,Bournemouth,Premier League,12,6,28
Jiménez R.,Fulham,Premier League,12,3,31
Delap L.,Ipswich,Premier League,12,2,29
Semenyo A.,Bournemouth,Premier League,11,5,30
Johnson B.,Tottenham,Premier League,11,3,31
Schade K.,Brentford,Premier League,11,2,28
Joao Pedro,Brighton,Premier League,10,6,34
